Fluorescence_intensity_R_0_1202
36.7
5.9
38.9
99
90.3
23
55
6.4
40.4
42.7
38.8
27.3
39.9
25.2
11
53.3
3.7
37.4
2.1
3.3
25.9
48.9
20.7
94
42
72.9
51
66.4
47.8
28.5
23.8
22.7
20.3
66.9
59.7
46.5
5.9
10.7
58.2
18.7
14.6
28.8
51.2
60.2
28.9
20.3
21.9
6
5.3
18.7
8.6
67.7
28.1
51.1
57.2
3.6
41.2
48.9
6.2
41.3
17.7
28.5
11.5
22.9
56.8
24.2
71.9
9.4
18.5
55.8
23.8
37.9
2.3
36.6
61.5
6.7
3.2
23.4
58.2
36.3
44.3
9.6
25.5
73.4
68.1
8.2
33.4
27.6
27.5
68.9
51.6
45.7
19.7
36.1
13.8
42.5
50.9
39
41.9
3.1
16.6
68.6
16.5
55.7
45.8
45.2
42.2
29.7
18.4
54
21.2
44.5
8.7
3.8
54.5
12.8
60.3
9.6
2.2
45.3
54.1
43.4
30.9
26.5
15.6
28.1
24.7
54.4
3.1
55.4
12.2
25.6
60.4
57.5
6.6
9.3
30.8
13.5
38.2
43.3
73.5
52
3.4
31.1
45.7
21.2
55.8
52.3
46.5
14.1
29.3
7.8
40.6
2.3
53.1
52.5
7.9
35.2
64.6
43.5
60.1
1.9
76
10.9
47.9
65.2
58.2
5.3
42
51.1
45
67.5
17.4
61.3
54.1
37.2
4.4
13.3
19.4
31.7
20.5
43.1
35.7
74.5
37.2
4.1
28.2
30.2
10.4
39.9
35.1
23.5
5.2
67.2
14.7
23.7
68.2
60.5
23.7
24.6
27.3
68.5
49.3
55.9
62.6
12.7
5.7
36.8
35.6
58.7
71.8
37.8
44
41.9
52.3
40.2
58.1
19.7
55
68.7
80.7
37.4
60.6
29.1
25.7
51.7
29.2
49.2
30.7
37.3
37.5
47.7
14.4
21.3
35.4
61.3
3.1
7.3
37.8
6
33.7
22.8
91
6.5
51.8
63.6
22.5
24.6
62.3
36.1
47.1
57.4
65.7
5.5
33
9.1
26.7
58.5
33.2
17.7
9.1
58.9
32.3
45.2
91.9
88.1
34.2
19.6
11.9
35.9
10.8
47.7
74.3
3.7
34.9
56.2
29.5
23.4
48.7
12.3
71
53.1
11.2
42.9
34.2
30.5
21
64.4
19.2
28.3
25.6
51.5
66.5
10.1
24.7
54.5
4
45.3
16
58.3
92.6
52.2
52.9
35.2
83.7
54.6
51.1
38.8
64.1
15.9
4.5
68.4
33.5
39.3
25.5
23
65
59.4
7.6
25.3
26.4
13.7
31.3
49.3
54.1
38.3
3.8
3
19.8
26.7
17
19.6
50.8
55.9
1.8
66.9
66.3
26.4
64.4
63.1
21.7
56.2
64.8
19.2
52.3
18.9
49.1
22.7
13.4
12.6
27.3
7.6
59.6
54.6
63.1
13.6
27.3
37.3
48.6
23.7
5.3
64.6
40.9
38
23.6
7.7
56.8
14.5
15.3
23.3
27.3
38
14.9
37
95.5
15.9
39.2
96.8
47
20.5
15.9
69.6
57.5
55.2
65
35.7
28.8
19
13.9
30.4
44.3
23.7
34
63
50.1
61.4
12.3
42.5
41.6
11.2
12.3
62
94.8
50.3
28.5
56.1
13.1
30.4
48.5
66.3
68
45.2
15.2
64.8
42.1
2
49.3
42.3
45.9
41.8
15.2
7.4
41.2
49.4
43.1
69
20
2
13.2
71
12.3
3.3
9.5
3.6
6.4
31
15.6
30.5
4.3
55.9
19.4
47.1
22.6
38.8
4.5
12.5
42.3
32.8
31.1
4.2
77.7
26.2
4.3
43.6
3
52.5
51.7
52.1
23.4
11.8
13.9
35.5
20.1
50.2
46.6
4.9
10.7
66.1
13.9
59.2
50.7
37.7
39.6
24.5
29.3
31.9
52.9
38.7
92.5
54.6
30.6
50.8
55.4
61.7
9.3
43.3
16.2
32
26.4
46.9
29.4
